/* DATA DESCRIPTION:
Citation:	Petit, Jean Robert; Jouzel, Jean (1999): Vostok ice core deuterium data for 420,000 years [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.55505
Related to:	Petit, Jean Robert; Jouzel, Jean; Raynaud, Dominique; Barkov, Nartsiss I; Barnola, Jean-Marc; Basile, Isabelle; Bender, Michael L; Chappellaz, Jérôme A; Davis, John C; Delaygue, Gilles; Delmotte, M; Kotlyakov, Vladimir; Legrand, Michel R; Lipenkov, Vladimir Ya; Lorius, C; Pepin, L; Ritz, Catherine; Saltzman, Eric S; Stiévenard, Michel (1999): Climate and atmospheric history of the past 420,000 years from the Vostok ice core, Antarctica. Nature, 399(6735), 429-436, https://doi.org/10.1038/20859
Coverage:	LATITUDE: -78.464420 * LONGITUDE: 106.837320
	DATE/TIME START: 1980-01-01T00:00:00 * DATE/TIME END: 1980-01-01T00:00:00
	MINIMUM DEPTH, ice/snow: 0 m * MAXIMUM DEPTH, ice/snow: 3310 m
Event(s):	Vostok * LATITUDE: -78.464420 * LONGITUDE: 106.837320 * DATE/TIME: 1980-01-01T00:00:00 * ELEVATION: 3488.0 m * Recovery: 2755 m * LOCATION: Antarctica * CAMPAIGN: Ice_core_diverse * BASIS: Sampling/drilling ice * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: annual pressure 624 mbar; mean annual temperature -55.5°C; snow accumulation between 2.2 and
	22.5 g/cm**2/yr, about 250 ka
Comment:	Deuterium data is from core 3G between 138 and 2083 meters below surface (mbs) (with one long missing section between 312 and 320 mbs), from core 4G between 8 and 138 mbs and between 1920 and 2546 mbs and from core 5G between 2504 and 2757 mbs. Ash layers help to make link between cores. No correction was applied for 3G and 4G core taken as reference depth. For 5G samples, a value of 3.41 m have been added to the depth measured in the field below depth of 2500 m. The temperature change is calculated using a deuterium/temperature gradient of 9‰/°C after accounting for the isotopic change of sea-water. No correction for the influence of the geographical position of the ice was applied.
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	δ Deuterium [‰ SMOW] (δD) * PI: Jouzel, Jean (jean.jouzel@lsce.ipsl.fr) * COMMENT: Deuterium measurements have been performed on three adjacent cores 3G, 4G and 5G (see Figure 1 of Jouzel et al., 1996). It combines results successively published in Jouzel et al. (1987, 1993 and 1996). Deuterium values have been measured on ice samples of length comprised between 0.5 and 2 m (down to 2080 m) then every 1 m. Data was re-interpolated on 1m intervals afterwards. The ice recovery is 85% or higher. Measurement accuracy is of ± 0.5 per mil SMOW
	Temperature, difference [°C] (delta T) * PI: Petit, Jean Robert (jean-robert.petit@univ-grenoble-alpes.fr) * METHOD/DEVICE: Calculated
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	6622 data points
*/
Depth ice/snow [m]	Age [ka BP]	δD [‰ SMOW]	delta T [°C]
0	0.000	-438.0	0.00
1	0.017	-438.0	0.00
2	0.035	-438.0	0.00
3	0.053	-438.0	0.00
4	0.072	-438.0	0.00
5	0.091	-438.0	0.00
6	0.110	-438.0	0.00
7	0.129	-438.0	0.00
8	0.149	-442.9	-0.81
9	0.170	-437.9	0.02
10	0.190	-435.8	0.36
11	0.211	-443.7	-0.95
12	0.234	-449.1	-1.84
13	0.258	-444.6	-1.09
14	0.281	-442.5	-0.75
15	0.304	-439.3	-0.22
16	0.327	-440.9	-0.48
17	0.351	-442.5	-0.75
18	0.375	-436.6	0.23
19	0.397	-430.0	1.33
20	0.420	-435.9	0.35
21	0.444	-436.9	0.18
22	0.469	-438.5	-0.08
23	0.495	-444.5	-1.08
24	0.523	-446.4	-1.39
25	0.552	-447.7	-1.61
26	0.581	-443.4	-0.90
27	0.609	-441.6	-0.60
28	0.637	-438.1	-0.02
29	0.665	-439.1	-0.18
30	0.695	-445.4	-1.23
31	0.726	-447.3	-1.54
32	0.757	-443.1	-0.85
33	0.788	-438.6	-0.10
34	0.817	-439.0	-0.17
35	0.848	-442.7	-0.78
36	0.881	-442.7	-0.78
37	0.912	-439.0	-0.17
38	0.944	-439.5	-0.25
39	0.976	-439.7	-0.28
40	1.009	-442.9	-0.81
41	1.042	-438.3	-0.05
42	1.074	-436.4	0.27
43	1.107	-443.0	-0.83
44	1.142	-441.9	-0.65
45	1.176	-439.6	-0.27
46	1.211	-441.9	-0.65
47	1.247	-446.9	-1.48
48	1.285	-447.9	-1.64
49	1.321	-440.4	-0.40
50	1.356	-436.0	0.33
51	1.390	-438.3	-0.05
52	1.426	-438.8	-0.13
53	1.461	-438.2	-0.03
54	1.497	-440.8	-0.46
55	1.535	-444.0	-1.00
56	1.573	-443.8	-0.96
57	1.612	-446.0	-1.33
58	1.652	-447.1	-1.51
59	1.692	-443.3	-0.88
60	1.732	-444.4	-1.06
61	1.772	-445.3	-1.21
62	1.812	-445.5	-1.24
63	1.853	-443.8	-0.96
64	1.893	-441.2	-0.53
65	1.931	-437.1	0.15
66	1.970	-439.7	-0.28
67	2.009	-440.7	-0.45
68	2.049	-440.3	-0.38
69	2.089	-441.2	-0.53
70	2.129	-441.7	-0.61
71	2.171	-443.7	-0.95
72	2.212	-442.4	-0.73
73	2.253	-437.3	0.12
74	2.291	-431.0	1.16
75	2.331	-443.9	-0.98
76	2.374	-446.7	-1.44
77	2.418	-442.4	-0.73
78	2.460	-441.8	-0.63
79	2.501	-436.2	0.30
80	2.542	-439.6	-0.27
81	2.585	-446.2	-1.36
82	2.628	-439.0	-0.17
83	2.670	-438.1	-0.02
84	2.713	-445.2	-1.19
85	2.760	-449.9	-1.97
86	2.805	-441.7	-0.61
87	2.847	-434.5	0.58
88	2.889	-440.3	-0.38
89	2.934	-446.1	-1.34
90	2.980	-446.5	-1.41
91	3.026	-442.4	-0.73
92	3.070	-439.5	-0.25
93	3.114	-441.2	-0.53
94	3.158	-438.5	-0.08
95	3.201	-437.1	0.15
96	3.245	-440.6	-0.43
97	3.289	-441.7	-0.61
