age,AT
0,-8.083430626226319
1000,-8.03500792274818
2000,-8.01926602731929
3000,-7.759976515071329
4000,-6.9795818892057815
5000,-5.965680602592784
6000,-5.199168269040794
7000,-4.567550920860596
8000,-3.471517252144488
9000,-2.5054737784576675
10000,-1.663111053595361
11000,-0.8596744454215213
12000,0.3211610467428747
13000,-0.1158287319433371
14000,-0.20845224891059488
15000,-0.7795931865351324
16000,-1.094821919791159
17000,-1.082993765000056
18000,-1.4184627793275888
19000,-1.2136759330919975
20000,-1.2356329542123017
21000,-1.570761007642859
22000,-1.7976908327910672
23000,-1.9219545951781123
24000,-2.5174454982304866
25000,-3.0827121864021505
26000,-3.643343313990611
27000,-3.748838180745228
28000,-3.4044801010139674
29000,-3.4552261516794847
30000,-4.367895506739601
31000,-5.344969690706216
32000,-6.029933156624095
33000,-5.516573859270095
34000,-4.739065157025009
35000,-4.444442991286912
36000,-4.996956018388247
37000,-6.055182723150695
38000,-6.89228009690268
39000,-6.702528854662353
40000,-5.738289366386261
41000,-5.023250501924734
42000,-4.931085191182352
43000,-6.113735121604514
44000,-7.091193871354965
45000,-7.410689962713135
46000,-7.6965627347339565
47000,-7.751604500839885
48000,-7.82487008506708
49000,-7.580804782856684
50000,-7.746823429157804
51000,-7.883837532807116
52000,-7.8336286398744575
53000,-7.773301922960234
54000,-7.724670103743695
55000,-8.043825034205817
56000,-7.860090254155021
57000,-7.494193140416738
58000,-7.289744213242776
59000,-6.43684415997895
60000,-4.905635795401819
61000,-4.117562719026493
62000,-3.81943390071676
63000,-3.1487009239611856
64000,-3.5692062078044238
65000,-3.3804249988737016
66000,-3.432508813747588
67000,-4.27317619246929
68000,-4.626410001707518
69000,-4.77505152561419
70000,-5.158462075980016
71000,-5.416076428841962
72000,-5.399686527306467
73000,-4.581538420276158
74000,-4.634972618638564
75000,-5.786311377963622
76000,-7.294316964979537
77000,-8.065434035094055
78000,-7.449969430914986
79000,-6.545013455261991
80000,-6.213384214791306
81000,-5.763000117217432
82000,-5.061411794239797
83000,-4.646868513999729
84000,-3.718647565355824
85000,-3.2847247253667975
86000,-3.4625024931603656
87000,-3.4193807008649264
88000,-3.3057011684084534
89000,-3.3391514018554203
90000,-3.3345388565335288
91000,-3.0164727784586454
92000,-3.1780903462759857
93000,-3.03174493822537
94000,-2.713176885129924
95000,-2.2562297623139935
96000,-1.9951282222530142
97000,-1.5895503601918575
98000,-1.8863030210508358
